Station_ID,City,Install_Date,Charger_Type,Daily_Avg_Utilization_Hrs,Avg_Charging_Rate_INR,Electricity_Cost_INR,Total_Energy_Dispensed_kWh,Maintenance_Incidents,Total_Maintenance_Cost_INR,Operational_Status,Install_Cost_INR,Total_Revenue,Total_Operational_Cost,Net_Profit,ROI
EV-0036,Madurai,2022-01-07,DCFC,0.79,20.52,9.62,51133.99,2,17469.27,Active,1702259.7,1049269.47,509378.25,539891.22,31.72
EV-0037,Madurai,2024-02-17,L2,7.1,18.73,8.72,51553.4,2,15642.19,Offline,274787.0,965595.18,465187.84,500407.34,182.11
EV-0038,Bangalore,2022-06-13,L2,10.07,18.3,7.46,27802.27,3,15882.02,Active,213203.56,508781.54,223286.95,285494.59,133.91
EV-0039,Hyderabad,2023-12-16,L2,3.16,19.13,8.16,24649.84,3,23896.77,Active,283864.88,471551.44,225039.46,246511.98,86.84
EV-0040,Hyderabad,2023-03-09,L2,7.88,18.42,7.96,47347.67,3,19304.15,Active,167698.08,872144.08,396191.6,475952.48,283.82
EV-0041,Chennai,2022-12-15,L2,5.91,21.59,9.45,40500.72,0,18864.02,Active,256302.71,874410.54,401595.82,472814.72,184.48
EV-0042,Bangalore,2022-10-12,DCFC,16.88,17.0,7.83,58791.19,2,8901.29,Active,1416421.92,999450.23,469236.31,530213.92,37.43
EV-0043,Kochi,2022-06-09,L2,7.51,16.77,6.56,52957.7,4,11240.97,Under Maintenance,165200.32,888100.63,358643.48,529457.15,320.49
EV-0044,Bangalore,2022-08-09,L2,4.29,15.73,6.12,38408.38,2,7014.88,Active,207999.68,604163.82,242074.17,362089.65,174.08
EV-0045,Kochi,2024-02-21,L2,6.0,17.42,9.48,52447.98,4,11154.74,Active,282032.34,913643.81,508361.59,405282.22,143.7
EV-0046,Chennai,2022-12-11,L2,6.15,16.32,7.21,43726.51,2,18974.33,Offline,297080.08,713616.64,334242.47,379374.17,127.7
EV-0047,Coimbatore,2022-04-15,Unknown,6.19,18.94,8.67,80999.02,1,13035.86,Under Maintenance,1468421.09,1534121.44,715297.36,818824.08,55.76
EV-0048,Hyderabad,2022-04-05,L2,9.3,18.54,8.07,55793.63,2,20362.21,Active,282962.46,1034413.9,470616.8,563797.1,199.25
EV-0049,Chennai,2023-01-25,L2,4.39,16.34,7.58,26590.9,2,18465.68,Offline,226448.16,434495.31,220024.7,214470.61,94.71
EV-0050,Hyderabad,2022-04-10,DCFC,9.01,19.68,7.74,77307.73,4,15252.26,Active,1286551.96,1521416.13,613614.09,907802.04,70.56
EV-0051,Madurai,2023-01-03,L2,5.74,21.53,9.58,40502.76,2,20480.23,Under Maintenance,156805.71,872024.42,408496.67,463527.75,295.61
EV-0052,Coimbatore,2022-12-19,L2,7.06,19.22,6.55,35378.95,3,21822.08,Active,233596.8,679983.42,253554.2,426429.22,182.55
EV-0053,Coimbatore,2023-09-11,L2,6.68,13.41,7.61,82155.3,0,17271.94,Active,160524.29,1101702.57,642473.77,459228.8,286.08
EV-0054,Chennai,2022-09-28,L2,6.45,22.47,8.91,55187.55,2,16149.84,Active,190292.69,1240064.25,507870.91,732193.34,384.77
EV-0056,Kochi,2024-01-18,L2,10.14,22.41,9.32,60995.9,5,7967.07,Active,271074.56,1366918.12,576448.86,790469.26,291.61
EV-0057,Coimbatore,2023-04-16,DCFC,8.61,20.68,8.89,46910.15,4,14412.14,Active,1516191.73,970101.9,431443.37,538658.53,35.53
EV-0058,Hyderabad,2023-07-04,L2,5.59,21.08,8.27,41413.92,6,14880.05,Active,290428.73,873005.43,357373.17,515632.26,177.54
EV-0059,Bangalore,2022-05-08,L2,10.46,18.91,7.5,43861.14,3,3519.36,Active,271549.88,829414.16,332477.91,496936.25,183.0
EV-0060,Hyderabad,2023-01-23,L2,7.19,17.98,6.59,74132.99,11,11052.52,Active,173436.02,1332911.16,499588.92,833322.24,480.48
EV-0061,Madurai,2022-03-22,L2,7.39,19.25,8.71,53056.81,1,19990.23,Active,208343.77,1021343.59,482115.05,539228.54,258.82
EV-0062,Madurai,2023-07-20,Unknown,4.41,17.08,10.75,69693.73,1,15850.29,Active,1718656.58,1190368.91,765057.89,425311.02,24.75
EV-0063,Bangalore,2022-10-28,Unknown,5.26,19.37,8.15,48853.32,2,16304.95,Offline,290760.9,946288.81,414459.51,531829.3,182.91
EV-0064,Madurai,2023-10-06,L2,4.78,13.25,6.17,38669.25,4,22122.9,Active,298157.38,512367.56,260712.17,251655.39,84.4
EV-0065,Chennai,2023-09-26,DCFC,12.09,18.59,8.46,28366.75,4,21035.04,Active,1554268.01,527337.88,261017.75,266320.13,17.13
EV-0066,Hyderabad,2023-01-06,L2,8.1,21.19,8.86,59720.05,2,2470.12,Active,236065.4,1265467.86,531589.76,733878.1,310.88
EV-0067,Coimbatore,2023-08-15,L2,7.42,18.69,7.08,75411.47,2,21806.47,Active,263491.45,1409440.37,555719.68,853720.69,324.0
EV-0068,Hyderabad,2022-07-16,L2,10.47,21.95,7.35,36710.4,3,7546.3,Under Maintenance,190985.46,805793.28,277367.74,528425.54,276.68
EV-0069,Coimbatore,2023-12-23,L2,4.28,17.97,7.25,57700.59,1,15255.96,Under Maintenance,192540.45,1036879.6,433585.24,603294.36,313.33
EV-0070,Madurai,2022-03-13,Unknown,6.79,20.51,7.47,29365.76,0,11311.79,Active,1296224.08,602291.74,230674.02,371617.72,28.67
EV-0071,Madurai,2022-02-16,L2,3.29,16.74,7.83,41664.55,1,16463.4,Active,280775.34,697464.57,342696.83,354767.74,126.35
EV-0072,Chennai,2023-11-09,L2,4.2,20.42,7.14,54019.05,3,17859.82,Active,295471.42,1103069.0,403555.84,699513.16,236.74
EV-0073,Coimbatore,2022-08-22,L2,9.66,18.97,6.76,24075.59,7,18137.95,Active,201200.19,456713.94,180888.94,275825.0,137.09
EV-0074,Hyderabad,2024-03-02,DCFC,5.34,18.06,8.17,49729.65,4,20131.2,Active,1670618.37,898117.48,426422.44,471695.04,28.23
EV-0075,Madurai,2022-10-24,L2,4.49,13.35,7.82,37449.49,6,13737.36,Active,277729.62,499950.69,306592.37,193358.32,69.62
EV-0076,Kochi,2022-03-23,DCFC,1.18,17.99,7.56,59071.39,5,14048.89,Active,1592125.29,1062694.31,460628.6,602065.71,37.82
EV-0077,Coimbatore,2022-08-27,L2,4.47,18.93,8.08,47518.99,2,17633.01,Active,202138.78,899534.48,401586.45,497948.03,246.34
EV-0078,Coimbatore,2022-04-14,DCFC,5.99,20.16,6.48,64091.59,3,1588.51,Active,1552051.57,1292086.45,416902.01,875184.44,56.39
EV-0079,Hyderabad,2023-01-25,DCFC,3.11,21.62,8.26,45806.03,5,8498.48,Active,1563018.58,990326.37,386856.29,603470.08,38.61
EV-0081,Coimbatore,2023-04-10,Unknown,9.68,20.99,8.24,27695.6,3,13023.78,Active,1529179.87,581330.64,241235.52,340095.12,22.24
EV-0082,Madurai,2023-10-13,L2,4.73,17.38,8.4,21364.86,4,15435.76,Active,277058.73,371321.27,194900.58,176420.69,63.68
EV-0083,Hyderabad,2023-01-09,L2,4.14,17.89,9.13,59494.37,3,13216.56,Active,175512.23,1064354.28,556400.16,507954.12,289.41
EV-0084,Madurai,2022-06-16,L2,3.69,19.98,8.1,88365.96,0,11386.27,Active,205094.09,1765551.88,727150.55,1038401.33,506.3
EV-0085,Madurai,2023-01-15,L2,3.65,19.54,9.07,56528.57,7,9907.38,Active,237900.26,1104568.26,522621.51,581946.75,244.62
EV-0086,Hyderabad,2022-12-30,L2,7.84,21.76,7.68,49197.52,2,14244.88,Active,192499.16,1070538.04,392081.83,678456.21,352.45
EV-0087,Chennai,2022-08-03,L2,6.62,23.46,7.73,67003.6,5,16792.03,Active,296722.97,1571904.46,534729.86,1037174.6,349.54
EV-0088,Madurai,2023-11-18,L2,8.89,23.03,7.91,42224.96,1,11984.96,Active,189472.54,972440.83,345984.39,626456.44,330.63
EV-0089,Hyderabad,2022-10-01,L2,11.55,21.49,8.77,68979.74,1,20949.06,Under Maintenance,220444.33,1482374.61,625901.38,856473.23,388.52
EV-0090,Kochi,2023-12-20,DCFC,1.92,19.56,8.63,42821.38,1,27292.25,Under Maintenance,1769941.56,837586.19,396840.76,440745.43,24.9
EV-0091,Coimbatore,2023-12-01,L2,7.45,21.2,8.14,43119.38,3,17065.63,Active,162009.55,914130.86,368057.38,546073.48,337.06
EV-0092,Kochi,2023-10-26,DCFC,3.7,21.82,6.77,46871.12,3,14793.82,Under Maintenance,1476897.48,1022727.84,332111.3,690616.54,46.76
EV-0093,Coimbatore,2022-03-15,DCFC,8.47,18.21,8.61,47582.03,1,10438.69,Active,1762795.24,866468.77,420119.97,446348.8,25.32
EV-0094,Chennai,2023-09-16,DCFC,10.48,17.43,7.14,59920.54,5,25275.44,Active,1339624.92,1044415.01,453108.1,591306.91,44.14
EV-0095,Hyderabad,2023-10-13,L2,6.57,16.97,7.08,39936.7,3,22385.88,Active,285436.93,677725.8,305137.72,372588.08,130.53
EV-0096,Hyderabad,2022-06-25,DCFC,3.29,16.75,6.86,63336.54,7,24742.4,Active,1675866.41,1060887.04,459231.06,601655.98,35.9
EV-0097,Hyderabad,2023-07-01,DCFC,5.43,15.74,7.92,63121.16,4,21980.78,Active,1557530.18,993527.06,521900.37,471626.69,30.28
EV-0098,Coimbatore,2024-01-17,DCFC,6.72,19.0,9.21,55144.45,3,19216.55,Offline,1508352.72,1047744.55,527096.93,520647.62,34.52
EV-0099,Chennai,2022-09-08,L2,9.89,16.5,7.03,51410.99,3,17050.97,Active,160680.01,848281.34,378470.23,469811.11,292.39
EV-0100,Kochi,2022-06-17,L2,4.51,16.93,9.68,69310.89,1,9756.66,Active,283080.65,1173433.37,680686.08,492747.29,174.07
EV-0101,Kochi,2023-04-19,L2,5.12,19.9,8.91,66045.94,5,14501.39,Under Maintenance,264873.83,1314314.21,602970.72,711343.49,268.56
EV-0103,Chennai,2022-10-04,L2,4.35,19.36,7.62,55276.49,2,14533.98,Active,243070.2,1070152.85,435740.83,634412.02,261.0
EV-0104,Chennai,2023-10-18,DCFC,16.84,21.23,6.96,57857.11,4,17104.41,Active,1624220.33,1228306.45,419789.9,808516.55,49.78
EV-0105,Hyderabad,2023-12-06,DCFC,11.66,20.23,8.66,50198.62,7,28183.96,Active,1339548.16,1015518.08,462904.01,552614.07,41.25
EV-0106,Hyderabad,2023-07-25,L2,7.26,21.54,7.01,44366.46,2,13630.68,Active,220246.04,955653.55,324639.56,631013.99,286.5
EV-0107,Bangalore,2022-08-13,DCFC,13.35,18.66,6.38,13914.31,3,19837.27,Active,1522639.54,259641.02,108610.57,151030.45,9.92
EV-0108,Madurai,2023-12-03,L2,4.96,21.72,7.67,60766.48,7,11419.87,Active,226177.51,1319847.95,477498.77,842349.18,372.43
EV-0109,Chennai,2022-11-29,DCFC,13.45,19.22,9.17,51463.7,8,24242.25,Active,1362568.48,989132.31,496164.38,492967.93,36.18
EV-0110,Bangalore,2024-02-26,DCFC,8.22,18.84,7.81,32583.22,4,33725.81,Active,1653277.03,613867.86,288200.76,325667.1,19.7
EV-0111,Bangalore,2024-03-05,L2,5.24,21.42,8.4,59077.53,2,14948.96,Active,185392.77,1265440.69,511200.21,754240.48,406.83
EV-0113,Bangalore,2022-08-23,DCFC,13.02,22.55,6.49,44502.06,6,37014.45,Active,1443205.39,1003521.45,325832.82,677688.63,46.96
EV-0114,Kochi,2022-02-02,L2,6.31,17.94,7.1,69661.41,2,21017.21,Active,174659.85,1249725.7,515613.22,734112.48,420.31
EV-0115,Coimbatore,2022-11-20,L2,3.35,16.06,8.01,35140.48,2,17938.72,Active,192624.42,564356.11,299413.96,264942.15,137.54
EV-0116,Coimbatore,2023-02-15,DCFC,3.98,19.81,7.44,35117.78,2,17728.49,Active,1430010.98,695683.22,279004.77,416678.45,29.14
EV-0117,Chennai,2022-10-02,L2,7.19,17.75,9.7,77072.52,4,11984.67,Active,221628.61,1368037.23,759588.11,608449.12,274.54
EV-0118,Hyderabad,2022-03-09,DCFC,8.33,22.55,6.77,47816.65,5,11495.65,Active,1560174.27,1078265.46,335214.37,743051.09,47.63
EV-0119,Chennai,2022-08-05,L2,3.73,17.63,7.09,68698.18,3,15707.04,Active,205308.6,1211148.91,502777.14,708371.77,345.03
EV-0121,Coimbatore,2024-01-06,L2,6.84,15.65,7.37,50118.36,2,10751.18,Active,217111.72,784352.33,380123.49,404228.84,186.18
EV-0123,Madurai,2022-08-06,DCFC,2.44,16.95,9.93,42778.09,2,13613.51,Under Maintenance,1409208.77,725088.63,438399.94,286688.69,20.34
EV-0124,Kochi,2023-11-03,L2,6.9,19.89,6.93,28950.7,3,20636.6,Active,295921.93,575829.42,221264.95,354564.47,119.82
EV-0125,Bangalore,2023-05-27,L2,5.0,17.64,8.56,55539.45,3,14722.96,Active,216492.18,979715.9,490140.65,489575.25,226.14
EV-0127,Madurai,2023-10-21,L2,7.12,18.76,7.14,36527.86,1,10313.02,Active,170198.84,685262.65,271121.94,414140.71,243.33
EV-0128,Bangalore,2023-04-15,L2,7.55,18.67,6.38,37721.02,1,10860.7,Active,265082.39,704251.44,251520.81,452730.63,170.79
EV-0129,Kochi,2022-05-27,L2,7.62,20.26,7.26,39698.28,4,21588.82,Active,242645.71,804287.15,309798.33,494488.82,203.79
EV-0130,Bangalore,2022-09-29,L2,3.47,21.61,7.36,32526.71,1,16344.82,Active,273009.62,702902.2,255741.41,447160.79,163.79
EV-0131,Bangalore,2022-05-23,DCFC,20.45,22.32,7.87,6566.63,5,25419.77,Active,1455372.94,146567.18,77099.15,69468.03,4.77
EV-0132,Kochi,2022-09-10,L2,2.44,20.23,7.63,48724.4,2,23003.23,Active,294425.49,985694.61,394770.4,590924.21,200.7
EV-0133,Madurai,2024-02-02,L2,8.49,19.06,6.56,43543.43,1,8412.06,Active,244039.77,829937.78,294056.96,535880.82,219.59
EV-0134,Madurai,2023-07-29,L2,8.05,15.65,7.48,45077.81,6,18356.28,Under Maintenance,267690.62,705467.73,355538.3,349929.43,130.72
EV-0135,Kochi,2023-07-06,L2,5.31,18.9,9.45,34822.95,2,7060.55,Under Maintenance,281637.27,658153.75,336137.43,322016.32,114.34
EV-0136,Kochi,2022-09-27,L2,8.17,18.93,9.33,62157.46,4,12811.74,Active,257187.52,1176640.72,592740.84,583899.88,227.03
EV-0137,Coimbatore,2024-02-04,L2,5.71,18.1,8.46,86380.87,4,9274.56,Under Maintenance,228635.5,1563493.75,740056.72,823437.03,360.15
EV-0139,Bangalore,2023-03-15,L2,7.67,20.74,10.06,70995.44,2,5551.37,Active,278173.89,1472445.43,719765.5,752679.93,270.58
EV-0140,Chennai,2023-08-21,L2,3.98,16.86,8.57,55499.75,8,13849.58,Active,222086.74,935725.78,489482.44,446243.34,200.93
EV-0141,Coimbatore,2023-02-13,DCFC,5.94,16.83,8.64,50531.3,3,9206.15,Active,1472537.43,850441.78,445796.58,404645.2,27.48
EV-0142,Coimbatore,2023-01-06,L2,5.01,18.22,6.44,44838.16,4,10725.96,Active,161883.98,816951.28,299483.71,517467.57,319.65
EV-0143,Hyderabad,2022-08-13,DCFC,5.66,17.27,6.89,48751.75,4,11496.44,Active,1616687.85,841942.72,347396.0,494546.72,30.59
EV-0144,Kochi,2022-05-22,L2,7.58,15.22,7.97,67243.86,5,21595.52,Active,254723.65,1023451.55,557529.08,465922.47,182.91
EV-0145,Bangalore,2023-06-06,L2,5.01,16.51,7.19,32928.79,1,13323.85,Active,237610.79,543654.32,250081.85,293572.47,123.55
EV-0146,Chennai,2023-05-21,L2,6.02,16.04,7.0,45874.9,3,23636.63,Active,217283.23,735833.4,344760.93,391072.47,179.98
EV-0147,Hyderabad,2022-04-04,L2,5.24,20.92,7.12,68735.0,2,24682.93,Active,183514.1,1437936.2,514076.13,923860.07,503.43
EV-0148,Kochi,2024-02-13,DCFC,10.11,21.91,6.58,64755.72,1,25568.42,Active,1737833.93,1418797.83,451661.06,967136.77,55.65
EV-0149,Hyderabad,2022-02-18,L2,7.36,16.31,7.21,33161.21,2,14706.17,Active,255093.65,540859.34,253798.49,287060.85,112.53
EV-0150,Madurai,2022-04-23,L2,7.05,19.59,8.34,47261.12,3,16051.79,Active,183628.6,925845.34,410209.53,515635.81,280.8
EV-0151,Kochi,2022-06-06,L2,8.21,20.25,9.8,60920.12,7,15529.84,Active,243258.99,1233632.43,612547.02,621085.41,255.32
EV-0152,Kochi,2023-10-05,L2,5.01,15.52,8.8,59951.42,4,15529.84,Active,238460.64,930446.04,543102.34,387343.7,162.44
EV-0154,Kochi,2023-11-28,L2,7.37,23.57,6.38,51388.57,1,10324.02,Active,159117.28,1211228.59,338183.1,873045.49,548.68
EV-0155,Hyderabad,2023-03-09,L2,2.6,19.85,8.12,58279.3,1,5622.62,Offline,166218.39,1156844.11,478850.54,677993.57,407.89
EV-0156,Kochi,2023-09-03,L2,2.93,18.01,7.93,55141.95,4,18570.67,Active,225912.52,993106.52,455846.33,537260.19,237.82
EV-0157,Bangalore,2022-03-07,L2,5.07,17.38,8.29,49096.87,6,13251.13,Active,229066.47,853303.6,420264.18,433039.42,189.05
EV-0158,Bangalore,2023-01-30,DCFC,5.76,14.46,7.64,47531.34,8,15174.81,Active,1408181.4,687303.18,378314.25,308988.93,21.94
EV-0161,Coimbatore,2023-04-25,L2,6.26,16.87,8.15,31819.67,3,17320.56,Active,201996.56,536797.83,276650.87,260146.96,128.79
EV-0162,Coimbatore,2023-06-26,L2,10.03,14.63,6.04,54874.35,4,7388.46,Active,197828.07,802811.74,338829.53,463982.21,234.54
EV-0163,Madurai,2022-09-15,DCFC,6.38,17.17,7.89,53931.99,2,9065.07,Active,1507369.64,926012.27,434588.47,491423.8,32.6
EV-0165,Chennai,2022-01-12,L2,7.47,17.64,8.56,74266.24,2,17382.05,Active,174062.66,1310056.47,653101.06,656955.41,377.42
EV-0166,Kochi,2023-11-28,DCFC,4.76,16.86,5.84,49047.22,0,11027.14,Active,1639706.96,826936.13,297462.9,529473.23,32.29
EV-0167,Kochi,2024-01-09,L2,8.61,18.54,7.55,83360.67,6,14135.27,Under Maintenance,243753.38,1545506.82,643508.33,901998.49,370.05
EV-0168,Hyderabad,2022-04-28,Unknown,7.74,18.96,9.73,74564.79,4,15572.76,Offline,1632908.44,1413748.42,741088.17,672660.25,41.19
EV-0169,Hyderabad,2023-11-30,L2,6.6,15.72,7.85,86045.27,3,15676.34,Active,199646.8,1352631.64,691131.71,661499.93,331.34
EV-0170,Hyderabad,2023-07-04,DCFC,6.89,18.07,8.32,56547.95,3,3024.32,Active,1673454.09,1021821.46,473503.26,548318.2,32.77
EV-0171,Hyderabad,2024-02-08,DCFC,11.6,17.51,9.62,36454.69,1,16108.21,Offline,1404643.3,638321.62,366802.33,271519.29,19.33
EV-0172,Hyderabad,2022-10-01,L2,8.86,17.22,7.85,34994.11,5,6335.7,Active,242877.57,602598.57,281039.46,321559.11,132.4
EV-0173,Madurai,2024-02-27,DCFC,12.0,16.47,8.79,70944.96,3,13568.01,Active,1727508.84,1168463.49,637174.21,531289.28,30.75
EV-0174,Bangalore,2023-10-19,L2,7.83,20.38,8.41,50774.4,4,12492.92,Active,281592.03,1034782.27,439505.62,595276.65,211.4
EV-0175,Bangalore,2022-12-15,DCFC,5.08,17.21,8.63,51891.97,4,14409.5,Under Maintenance,1371093.77,893060.8,462237.2,430823.6,31.42
EV-0176,Coimbatore,2022-04-25,L2,5.84,14.51,8.38,50118.36,0,19215.84,Offline,154855.28,727217.4,439207.7,288009.7,185.99
EV-0177,Hyderabad,2022-10-28,L2,2.25,19.03,7.45,43562.39,1,9380.12,Active,163256.74,828992.28,333919.93,495072.35,303.25
EV-0178,Chennai,2023-03-22,Unknown,7.82,19.95,7.55,55756.39,1,12385.32,Active,276846.47,1112339.98,433346.06,678993.92,245.26
EV-0179,Madurai,2022-06-11,L2,8.36,16.91,7.15,34171.65,4,19393.67,Active,247684.43,577842.6,263720.97,314121.63,126.82
EV-0180,Chennai,2023-04-10,L2,4.29,17.38,6.36,51410.99,0,12242.5,Active,293661.69,893523.01,339216.4,554306.61,188.76
EV-0181,Chennai,2022-01-04,DCFC,8.75,17.2,9.24,72666.2,4,16811.18,Active,1617691.89,1249858.64,688246.87,561611.77,34.72
EV-0182,Chennai,2024-01-10,DCFC,12.37,17.81,8.01,51463.7,5,20488.83,Active,1346855.49,916568.5,432713.07,483855.43,35.92
EV-0183,Bangalore,2024-01-07,DCFC,6.31,20.71,9.19,26880.32,5,26553.77,Active,1589309.0,556691.43,273583.91,283107.52,17.81
EV-0184,Madurai,2022-09-27,L2,3.32,18.27,9.57,49353.39,3,22231.54,Active,230674.24,901686.44,494543.48,407142.96,176.5
EV-0186,Hyderabad,2024-02-20,L2,6.79,16.56,6.69,42651.61,2,10724.59,Active,202130.08,706310.66,296063.86,410246.8,202.96
EV-0187,Kochi,2022-07-02,L2,5.1,17.73,7.8,20026.39,3,13618.32,Active,150884.54,355067.89,169824.16,185243.73,122.77
EV-0188,Chennai,2023-06-04,L2,2.27,20.41,7.33,51410.99,4,16150.7,Active,155254.75,1049298.31,392993.26,656305.05,422.73
EV-0189,Bangalore,2022-04-19,L2,8.63,16.89,6.02,37834.02,4,11148.77,Active,249573.97,639016.6,238909.57,400107.03,160.32
EV-0190,Madurai,2023-10-03,DCFC,4.79,20.52,7.5,44581.3,1,18442.82,Active,1776262.38,914808.28,352802.57,562005.71,31.64
EV-0191,Bangalore,2022-11-02,Unknown,11.15,17.24,7.93,54785.67,0,10413.61,Under Maintenance,273151.69,944504.95,444863.97,499640.98,182.92
EV-0192,Chennai,2023-10-17,L2,8.65,17.86,7.36,40003.5,3,5495.73,Active,195061.48,714462.51,299921.49,414541.02,212.52
EV-0193,Madurai,2023-06-04,L2,4.48,21.84,7.23,36858.05,4,17658.88,Active,272320.84,804979.81,284142.58,520837.23,191.26
EV-0194,Coimbatore,2023-09-16,L2,4.71,17.63,6.72,37133.0,0,18237.95,Active,213823.71,654654.79,267771.71,386883.08,180.94
EV-0195,Chennai,2022-07-23,L2,10.8,18.79,8.2,77868.93,1,20223.25,Active,164504.76,1463157.19,658748.48,804408.71,488.99
EV-0196,Bangalore,2022-06-06,DCFC,11.32,19.73,9.87,67394.2,6,7560.75,Active,1598555.39,1329687.57,672741.5,656946.07,41.1
